;id;model;years;search;Price:;New Price Roadworthy:;Road Tax / 3 Months:;Body Type:;Transmission:;Drive Wheel :;Engine/motor Type:;Fuel Type:;Power:;Total Max. Power (kW):;Top Speed:;Acceleration 0-100 Km / H:;Practice Consumption Monitor:;Cylinders:;Valves Per Cylinder:;Engine Capacity:;Bore X Stroke:;Compression Ratio:;Urban Consumption:;Extra-urban Consumption:;Combined Consumption:;Co2 Emissions:;Energy Label:;Low Consumption:;Medium Consumption:;High Consumption:;Very High Consumption:;Front Suspension:;Rear Suspension:;Front Stabilizer:;1st Gear:;2nd Gear:;3rd Gear:;4th Gear:;5th Gear:;Curb Weight:;Max. Payload:;Max. Permissible Mass:;Max. Front Axle Mass:;Max. Rear Axle Mass:;Cargo Capacity:;Length Min./max.:;Width Min./max.:;Height:;Height Of Lift Threshold:;Length:;Width:;Wheelbase:;Front Track Width:;Distance Backrest / Pedals:;Front Headroom:;Front Backrest Length:;Front Seat Length:;Front Entry Height:;Crash Test Result:;ABS:;Brake Force Distribution:;Brake Assist:;Emergency Braking Assistance:;Central Door Locking:;Keyless Entry/start:;Start Button:;Control Circuit:;Electric Windows:;Height Adjustment Seat:;Lumbar Support Seat:;Electric Adjustment Seat:;Heated Seats:;Ventilated Seats:;Interval Wiper (s):;Alloy Wheels:;Sliding / Tilting Roof:;Panoramic Roof:;Roof Rails:;Service:;General Warranty:;Body Warranty:;New Price Tax:;New Price 2012:;New Price 2011:;New Price 2010:;New Price 2009:;New Price 2008:;Occasion Price 2012:;Occasion Price 2011:;Occasion Price 2010:;4 Years Depreciation:;Motor Vehicle Tax:;Insurance:;Fuel Costs:;Maintenance:;New Price 2007:;New Price 2006:;New Price 2005:;New Price 2004:;New Price 2014:;New Price 2013:;Occasion Price 2014:;Occasion Price 2013:;New Price 2015:;Occasion Price 2015:;New Price 2003:;New Price 2002:;New Price 2001:;New Price 1982:;New Price 1981:;New Price 1980:;New Price 1979:;New Price 1985:;New Price 1984:;New Price 1983:;New Price 1989:;New Price 1988:;New Price 1987:;New Price 1986:;New Price 1998:;New Price 1997:;New Price 2000:;New Price 1999:;New Price 2016:;Occasion Price 2016:;New Price 1996:;New Price 1995:;New Price 1994:;New Price 1993:;New Price 1992:;New Price 1991:;New Price 1990:;New Price 2017:;Occasion Price 2017:;Engine Type:;Max Power:;Max. Power KW:;Max. Power Hp:;Max Torque:;New Price 1978:;New Price 1977:;New Price 2020:;New Price 2019:;New Price 2018:;Occasion Price 2019:;Occasion Price 2018:;Net Price:;VAT:;BPM (fixed):;Power Consumption:;Battery Range:;Total Max. Power (hp):;Back Door Wxh:
0;0;Abarth 500 1.4 16v T-Jet 2008 Manual 3 doors specs;"2008 - 2012
3 doors, Hatchback";;€ 23.200;n/a;€ 72 - € 80;3-doors, hatchback;5 speed manual transmission;front;fuel engine;gasoline;99 kw (135 hp);99;205 km/h;7,9 s;6,7 l/100km (1);4, in line;4;1368 cc;72,0 x 84,0 mm;10,8 :1;8,5 l/100km;5,4 l/100km;;155 g/km;g;;;;;coil springs;coil springs;yes;3,91:1;2,24:1;1,52:1;1,16:1;0,87:1;905 kg;465 kg;1370 kg;- kg;- kg;185-610 l;;;1488 mm;700 mm;3546 mm;1627 mm;2300 mm;1413 mm;920-1110 mm;970-970 mm;620 mm;500 mm;630 mm;not tested;yes;yes;yes;n/a;yes;yes;n/a;n/a;yes(front);yes(driver);n/a;n/a;n/a;n/a;yes;yes;n/a;€ 500;n/a;20.000 km / 1 year;2 year, unlimited;8 year;€ 23.200;€ 23.200;€ 22.425;€ 21.990;€ 21.990;€ 21.990;€ 0;€ 0;€ 0;;€ 24;€ 47;€ 166;€ 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
432;432;Citroen C3 Picasso 1.4 VTi Seduction 2009 Manual 5 doors specs;"2009 - 2011
5 doors, MPV";;€ 17.440;n/a;€ 136 - € 152;5-doors, mpv;5 speed manual transmission;front;fuel engine;gasoline;70 kw (95 hp);70;178 km/h;13,4 s;6,5 l/100km (2);4, in line;4;1397 cc;77,0 x 75,0 mm;11,0 :1;8,5 l/100km;5,2 l/100km;;149 g/km;f;;;;;coil springs;torsion bar;yes;3,42:1;1,80:1;1,28:1;0,98:1;0,77:1;1176 kg;566 kg;1742 kg;- kg;- kg;385-1506 l;;;1631 mm;675 mm;4078 mm;1766 mm;2540 mm;1466 mm;920-1060 mm;960-1035 mm;610 mm;470 mm;630 mm;****;yes;yes;yes;n/a;yes;yes;n/a;n/a;yes(front);yes(driver);n/a;n/a;n/a;n/a;yes(adjustable);n/a;n/a;n/a;n/a;30.000 km / 2 year;2 year, unlimited;12 year;€ 17.440;;€ 17.290;€ 16.995;€ 16.995;;;€ 4.200;€ 3.500;€ 180;€ 45;€ 43;€ 163;€ 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
433;433;Citroen C4 1.4 16V Ligne Seduction 2004 Manual 5 doors specs;"2004 - 2008
5 doors, Hatchback";;€ 18.990;n/a;€ 136 - € 152;5-doors, hatchback;5 speed manual transmission;front;fuel engine;gasoline;65 kw (90 hp);65;182 km/h;14,2 s;7,1 l/100km (2);4, in line;4;1360 cc;75,0 x 77,0 mm;10,2 :1;8,7 l/100km;5,2 l/100km;;153 g/km;f;;;;;coil springs;torsion bar;yes;;;;;;1157 kg;545 kg;1702 kg;- kg;- kg;350 l;;;1460 mm;690 mm;4270 mm;1769 mm;2608 mm;1505 mm;920-1100 mm;955-1010 mm;600 mm;500 mm;580 mm;*****;yes;yes;n/a;n/a;yes;yes;n/a;n/a;yes(front);yes(driver);n/a;n/a;n/a;n/a;yes(adjustable);n/a;n/a;n/a;n/a;30.000 km / 1 year;2 year, unlimited;12 year;€ 18.990;;;;;€ 19.340;;;;€ 250;€ 45;€ 45;€ 163;€ 47;€ 19.340;€ 19.290;€ 18.380;€ 17.990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
434;434;Citroen C4 1.4 16V Seduction 2008 Manual 5 doors specs;"2008 - 2009
5 doors, Hatchback";;€ 18.790;n/a;€ 136 - € 152;5-doors, hatchback;5 speed manual transmission;front;fuel engine;gasoline;65 kw (90 hp);65;182 km/h;14,2 s;n.b.;4, in line;4;1360 cc;75,0 x 77,0 mm;10,2 :1;8,7 l/100km;5,2 l/100km;;153 g/km;f;;;;;coil springs;torsion bar;yes;;;;;;1157 kg;545 kg;1702 kg;- kg;- kg;350 l;;;1460 mm;690 mm;4270 mm;1769 mm;2608 mm;1505 mm;920-1100 mm;955-1010 mm;600 mm;500 mm;580 mm;*****;yes;yes;n/a;n/a;yes;yes;n/a;n/a;yes(front);yes(driver);n/a;n/a;n/a;n/a;yes(adjustable);n/a;n/a;n/a;n/a;30.000 km / 1 year;2 year, unlimited;12 year;€ 18.790;;;;€ 18.790;€ 18.990;;;;€ 246;€ 45;€ 45;€ 163;€ 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
435;435;Citroen C4 VTi 95 Attraction 2010 Manual 5 doors specs;"2010 - 2014
5 doors, Hatchback";;€ 21.060;n/a;€ 136 - € 152;5-doors, hatchback;5 speed manual transmission;front;fuel engine;gasoline;70 kw (95 hp);70;182 km/h;11,9 s;6,4 l/100km (2);4, in line;4;1397 cc;77,0 x 75,0 mm;11,0 :1;8,2 l/100km;4,9 l/100km;;140 g/km;e;;;;;coil springs;torsion bar;yes;3,46:1;1,87:1;1,29:1;0,95:1;0,75:1;1175 kg;545 kg;1720 kg;- kg;- kg;408-1183 l;;;1489 mm;710 mm;4329 mm;1789 mm;2608 mm;1536 mm;905-1110 mm;970-1025 mm;610 mm;505 mm;585 mm;*****;yes;yes;yes;n/a;yes;yes;n/a;n/a;yes(front);yes(driver);n/a;n/a;n/a;n/a;yes(adjustable);n/a;n/a;n/a;n/a;30.000 km / 1 year;2 year, unlimited;12 year;€ 21.060;€ 19.540;€ 18.990;€ 18.990;;;€ 5.200;€ 4.200;€ 3.400;€ 241;€ 45;€ 48;€ 155;€ 47;;;;;€ 21.060;€ 20.860;€ 7.700;€ 6.400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
436;436;Citroen C4 Coupe 1.4 16V Ligne Seduction 2004 Manual 3 doors specs;"2004 - 2008
3 doors, Coupe";;€ 18.990;n/a;€ 136 - € 152;3-doors, coupé;5 speed manual transmission;front;fuel engine;gasoline;65 kw (90 hp);65;182 km/h;14,2 s;6,5 l/100km (1);4, in line;4;1360 cc;75,0 x 77,0 mm;10,2 :1;8,7 l/100km;5,2 l/100km;;153 g/km;f;;;;;coil springs;torsion bar;yes;;;;;;1156 kg;545 kg;1701 kg;- kg;- kg;350 l;;;1460 mm;690 mm;4270 mm;1769 mm;2608 mm;1505 mm;920-1100 mm;955-1010 mm;600 mm;500 mm;580 mm;*****;yes;yes;n/a;n/a;yes;yes;n/a;n/a;yes(front);yes(driver);n/a;n/a;n/a;n/a;yes(adjustable);n/a;n/a;n/a;n/a;30.000 km / 1 year;2 year, unlimited;12 year;€ 18.990;;;;;€ 19.340;;;;€ 250;€ 45;€ 45;€ 163;€ 47;€ 19.040;€ 18.790;€ 17.880;€ 17.490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
437;437;Citroen C4 Coupe 1.4 16V Seduction 2008 Manual 3 doors specs;"2008 - 2009
3 doors, Coupe";;€ 18.790;n/a;€ 136 - € 152;3-doors, coupé;5 speed manual transmission;front;fuel engine;gasoline;65 kw (90 hp);65;182 km/h;14,2 s;n.b.;4, in line;4;1360 cc;75,0 x 77,0 mm;10,2 :1;8,7 l/100km;5,2 l/100km;;153 g/km;f;;;;;coil springs;torsion bar;yes;;;;;;1156 kg;545 kg;1701 kg;- kg;- kg;350 l;;;1460 mm;690 mm;4270 mm;1769 mm;2608 mm;1505 mm;920-1100 mm;955-1010 mm;600 mm;500 mm;580 mm;*****;yes;yes;n/a;n/a;yes;yes;n/a;n/a;yes(front);yes(driver);n/a;n/a;n/a;n/a;yes(adjustable);n/a;n/a;n/a;n/a;30.000 km / 1 year;2 year, unlimited;12 year;€ 18.790;;;;€ 18.790;€ 18.990;;;;€ 246;€ 45;€ 45;€ 163;€ 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438;438;Citroen C4 Aircross 1.6i 2WD Attraction 2012 Manual 5 doors specs;"2012 - 2015
5 doors, SUV";;€ 22.990;n/a;€ 157 - € 176;5-doors, suv/crossover;5 speed manual transmission;front;fuel engine;gasoline;86 kw (117 hp);86;183 km/h;11,3 s;n.b.;4, in line;4;1590 cc;75,0 x 90,0 mm;11,0 :1;7,5 l/100km;4,9 l/100km;;135 g/km;d;;;;;coil springs;coil springs;yes;3,73:1;1,95:1;1,34:1;0,98:1;0,80:1;1280 kg;590 kg;1870 kg;- kg;- kg;442-1220 l;;;1625 mm;;4341 mm;1799 mm;2670 mm;1545 mm;;;;;;not tested;yes;yes;yes;n/a;yes;yes;n/a;n/a;yes(front & rear);yes(best. & pass.);n/a;n/a;n/a;n/a;yes(adjustable);€ 550;n/a;n/a;n/a;30.000 km / 1 year;2 year, unlimited;12 year;€ 22.990;€ 23.995;;;;;€ 6.700;;;€ 235;€ 52;€ 52;€ 150;€ 56;;;;;€ 22.990;€ 25.375;€ 9.500;€ 8.200;€ 22.990;€ 11.200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
439;439;Citroen C4 Picasso 1.6 VTi Seduction 2007 Manual 5 doors specs;"2008 - 2010
5 doors, MPV";;€ 23.690;n/a;€ 178 - € 200;5-doors, mpv;5 speed manual transmission;front;fuel engine;gasoline;88 kw (120 hp);88;186 km/h;13,3 s;9,0 l/100km (1);4, in line;4;1598 cc;77,0 x 85,8 mm;11,0 :1;10,0 l/100km;5,9 l/100km;;174 g/km;g;;;;;coil springs;torsion bar;yes;;;;;;1433 kg;582 kg;2015 kg;- kg;- kg;500-1734 l;;;1680 mm;570 mm;4470 mm;1829 mm;2728 mm;1505 mm;925-1100 mm;1010-1070 mm;620 mm;470 mm;680 mm;*****;yes;yes;yes;n/a;yes;yes;n/a;n/a;yes(front);yes(driver);n/a;n/a;n/a;n/a;yes(adjustable);n/a;n/a;n/a;n/a;30.000 km / 1 year;2 year, unlimited;12 year;€ 23.690;;;€ 23.990;€ 24.190;€ 24.990;;;€ 3.800;€ 275;€ 59;€ 56;€ 189;€ 51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
440;440;Citroen C4 Picasso VTi 120 Attraction 2010 Manual 5 doors specs;"2010 - 2013
5 doors, MPV";;€ 28.240;n/a;€ 178 - € 200;5-doors, mpv;5 speed manual transmission;front;fuel engine;gasoline;88 kw (120 hp);88;186 km/h;12,1 s;9,2 l/100km (2);4, in line;4;1598 cc;77,0 x 85,8 mm;11,0 :1;9,3 l/100km;5,4 l/100km;;159 g/km;f;;;;;coil springs;torsion bar;yes;;;;;;1390 kg;625 kg;2015 kg;- kg;- kg;500-1734 l;;;1680 mm;570 mm;4470 mm;1830 mm;2728 mm;1505 mm;925-1100 mm;1010-1070 mm;620 mm;470 mm;680 mm;*****;yes;yes;yes;n/a;yes;yes;n/a;n/a;yes(front);yes(driver);n/a;n/a;n/a;n/a;yes(adjustable);n/a;n/a;n/a;n/a;30.000 km / 1 year;2 year, unlimited;12 year;€ 28.240;€ 25.440;€ 24.440;€ 24.440;;;€ 6.500;€ 5.100;€ 4.100;€ 334;€ 59;€ 62;€ 176;€ 56;;;;;;€ 28.240;;€ 8.300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
